uid,weather,colour,size,grade,phone_number,temperature,entropy,energy,date,time
1,sunny,red,small,A,555-0101,22.5,0.85,100.2,2024-01-15,09:30:45
2,rainy,blue,medium,B,555-0102,18.3,0.72,95.8,2024-02-20,14:22:10
3,cloudy,green,large,C,555-0103,15.7,0.68,88.4,2024-03-10,11:45:33
4,sunny,yellow,small,A,555-0104,25.1,0.91,105.6,2024-04-05,08:15:22
5,windy,red,medium,B,not_a_phone,20.4,0.78,92.3,2024-05-18,16:50:12
6,rainy,blue,large,D,555-0106,cold,0.65,98.7,2024-06-22,13:25:45
7,foggy,purple,small,F,555-0107,12.8,not_a_number,85.2,2024-07-30,10:05:18
8,sunny,orange,medium,A,555-0108,28.3,0.95,110.5,2024/08/14,19:40:55
9,stormy,black,large,C,555-0109,16.2,0.70,text_error,2024-09-25,22:15:30
10,cloudy,white,small,B,555-0110,19.8,0.82,94.1,2024-10-12,07:55:40
11,sunny,,medium,A,555-0111,23.6,0.88,102.3,2024-11-08,15:20:25
12,rainy,pink,huge,B,555-0112,17.5,0.75,89.9,,12:35:50
13,,red,tiny,Z,555-0113,21.2,0.80,96.7,2024-12-01,25:70:90
14,hail,green,medium,,555-0114,14.9,0.68,87.5,2024-01-20,
15,sunny,blue,large,A+,555-0115,26.7,1.25,500.8,1899-05-10,11:11:11
16,drizzle,red,small,C,555-0116,,0.77,93.4,2024-02-28,09:45:20
17,windy,violet,medium,B,555-0117,22.1,,99.2,2050-12-31,18:30:15
18,clear,gold,large,A,555-0118,24.5,0.90,,2024-03-15,06:22:33
19,overcast,silver,small,D,555-0119,18.7,0.73,91.8,not_a_date,14:18:42
20,misty,brown,medium,F,555-0120,20.3,0.81,97.6,2024-04-22,not_a_time
